  [ppo train] slot=600 team_r=2.6061
  [ppo train] slot=650 team_r=3.6764
  [ppo train] slot=700 team_r=3.7011
  [ppo train] slot=750 team_r=10.3499
  [ppo train] slot=800 team_r=11.7151
  [ppo train] slot=850 team_r=1.2746
  [ppo train] slot=900 team_r=0.0000
  [ppo train] slot=950 team_r=-1.5178
    reward=82.0053 acc=0.1627 delay=1.781 energy=0.138 backlog=0 vio=0.419 ms/slot=11.98 (dec=4.17 comm=6.82 alloc=0.99) wall=1002s
=== ppo seed=1 ===
  [ppo train] slot=0 team_r=0.0000
  [ppo train] slot=50 team_r=12.5147
  [ppo train] slot=100 team_r=8.1818
  [ppo train] slot=150 team_r=-3.2021
  [ppo train] slot=200 team_r=5.2203
  [ppo train] slot=250 team_r=-2.8109
  [ppo train] slot=300 team_r=0.0000
  [ppo train] slot=350 team_r=4.9193
  [ppo train] slot=400 team_r=0.0000
  [ppo train] slot=450 team_r=3.7952
  [ppo train] slot=500 team_r=0.0000
  [ppo train] slot=550 team_r=-2.1171
  [ppo train] slot=600 team_r=17.9727
  [ppo train] slot=650 team_r=1.2456
  [ppo train] slot=700 team_r=0.0000
  [ppo train] slot=750 team_r=0.0350
  [ppo train] slot=800 team_r=11.1368
  [ppo train] slot=850 team_r=16.3189
  [ppo train] slot=900 team_r=-2.9395
  [ppo train] slot=950 team_r=3.7991
    reward=85.6713 acc=0.1665 delay=1.740 energy=0.135 backlog=0 vio=0.402 ms/slot=12.32 (dec=4.47 comm=6.82 alloc=1.02) wall=26s
=== ppo seed=2 ===
  [ppo train] slot=0 team_r=0.0000
  [ppo train] slot=50 team_r=12.8444
  [ppo train] slot=100 team_r=7.9304
  [ppo train] slot=150 team_r=9.3022
  [ppo train] slot=200 team_r=3.7245
  [ppo train] slot=250 team_r=9.2783
  [ppo train] slot=300 team_r=6.0351
  [ppo train] slot=350 team_r=6.0556
  [ppo train] slot=400 team_r=6.2210
  [ppo train] slot=450 team_r=1.1318
  [ppo train] slot=500 team_r=-3.1452
  [ppo train] slot=550 team_r=2.3002
  [ppo train] slot=600 team_r=14.8845
  [ppo train] slot=650 team_r=7.2229
  [ppo train] slot=700 team_r=0.0000
  [ppo train] slot=750 team_r=11.7756
  [ppo train] slot=800 team_r=5.3607
  [ppo train] slot=850 team_r=4.6865
  [ppo train] slot=900 team_r=0.0000
  [ppo train] slot=950 team_r=2.9240
    reward=84.8378 acc=0.1647 delay=1.753 energy=0.135 backlog=0 vio=0.404 ms/slot=927.82 (dec=919.89 comm=6.82 alloc=1.11) wall=944s
=== ppo seed=3 ===
  [ppo train] slot=0 team_r=0.0000
  [ppo train] slot=50 team_r=2.8665
  [ppo train] slot=100 team_r=18.0795
  [ppo train] slot=150 team_r=11.6806
  [ppo train] slot=200 team_r=11.7321
  [ppo train] slot=250 team_r=0.0000
  [ppo train] slot=300 team_r=11.7524
  [ppo train] slot=350 team_r=10.8626
  [ppo train] slot=400 team_r=0.0000
  [ppo train] slot=450 team_r=12.9056
  [ppo train] slot=500 team_r=2.9397
  [ppo train] slot=550 team_r=0.6084
