Model,Coding Rate,SNR,Accuracy
Box3,0.2,4.545454545454545,0.15317719645610858
Box3,0.2,4.646464646464646,0.15318612055691772
Box3,0.2,4.747474747474747,0.15319287543380797
Box3,0.2,4.848484848484849,0.1531974195978058
Box3,0.2,4.94949494949495,0.1531997115599379
Box3,0.2,5.05050505050505,0.1532
Box3,0.2,5.151515151515151,0.1532
Box3,0.2,5.252525252525253,0.1532
Box3,0.2,5.353535353535354,0.1532
Box3,0.2,5.454545454545454,0.1532
Box3,0.2,5.555555555555555,0.1532
Box3,0.2,5.656565656565657,0.1532
Box3,0.2,5.757575757575758,0.1532
Box3,0.2,5.858585858585858,0.1532
Box3,0.2,5.959595959595959,0.1532
Box3,0.2,6.0606060606060606,0.1532
Box3,0.2,6.161616161616162,0.1532
Box3,0.2,6.262626262626262,0.1532
Box3,0.2,6.363636363636363,0.1532
Box3,0.2,6.4646464646464645,0.1532
Box3,0.2,6.565656565656566,0.1532
Box3,0.2,6.666666666666667,0.1532
Box3,0.2,6.767676767676767,0.1532
Box3,0.2,6.8686868686868685,0.1532
Box3,0.2,6.96969696969697,0.1532
Box3,0.2,7.070707070707071,0.1532
Box3,0.2,7.171717171717171,0.1532
Box3,0.2,7.2727272727272725,0.1532
Box3,0.2,7.373737373737374,0.1532
Box3,0.2,7.474747474747475,0.1532
Box3,0.2,7.575757575757575,0.1532
Box3,0.2,7.6767676767676765,0.1532
Box3,0.2,7.777777777777778,0.1532
Box3,0.2,7.878787878787879,0.1532
Box3,0.2,7.979797979797979,0.1532
Box3,0.2,8.080808080808081,0.1532
Box3,0.2,8.181818181818182,0.1532
Box3,0.2,8.282828282828282,0.1532
Box3,0.2,8.383838383838384,0.1532
Box3,0.2,8.484848484848484,0.1532
Box3,0.2,8.585858585858587,0.1532
Box3,0.2,8.686868686868687,0.1532
Box3,0.2,8.787878787878787,0.1532
Box3,0.2,8.88888888888889,0.1532
Box3,0.2,8.98989898989899,0.1532
Box3,0.2,9.09090909090909,0.1532
Box3,0.2,9.191919191919192,0.1532
Box3,0.2,9.292929292929292,0.1532
Box3,0.2,9.393939393939394,0.1532
Box3,0.2,9.494949494949495,0.1532
Box3,0.2,9.595959595959595,0.1532
Box3,0.2,9.696969696969697,0.1532
Box3,0.2,9.797979797979798,0.1532
Box3,0.2,9.8989898989899,0.1532
Box3,0.2,10.0,0.1532
Box3,0.5,0.0,0.0
Box3,0.5,0.10101010101010101,6.883945946605251e-06
Box3,0.5,0.20202020202020202,2.758756769225772e-05
Box3,0.5,0.30303030303030304,6.218854109571249e-05
Box3,0.5,0.40404040404040403,0.0001107645420157246
Box3,0.5,0.5050505050505051,0.0001733932463110492
Box3,0.5,0.6060606060606061,0.00025015232984044127
Box3,0.5,0.7070707070707071,0.0003411194684626559
Box3,0.5,0.8080808080808081,0.0004463723380364482
Box3,0.5,0.9090909090909091,0.0005659886144205732
Box3,0.5,1.0101010101010102,0.0007000459734737863
Box3,0.5,1.1111111111111112,0.0008486220910548421
Box3,0.5,1.2121212121212122,0.0010117946430224958
Box3,0.5,1.3131313131313131,0.0011896413052355024
Box3,0.5,1.4141414141414141,0.0013822397535526172
Box3,0.5,1.5151515151515151,0.001589667663832595
Box3,0.5,1.6161616161616161,0.0018120027119341913
Box3,0.5,1.7171717171717171,0.0020493225737161606
Box3,0.5,1.8181818181818181,0.002301704925037259
Box3,0.5,1.9191919191919191,0.00256922744175624
Box3,0.5,2.0202020202020203,0.002851967799731861
Box3,0.5,2.121212121212121,0.003150003674822874
Box3,0.5,2.2222222222222223,0.0034634127428880366
