cell_id,ue_id,distance_m
15,12,160.6
15,13,221.3
15,14,205.7
15,15,236.8
15,16,177.7
15,17,227.3
15,18,171.6
15,19,140.5
15,20,179.4
15,21,219.3
15,22,286.8
15,23,268.8
15,24,230.1
15,25,265.4
15,26,154.5
15,27,134.5
15,28,246.7
15,29,257.0
15,30,72.8
15,31,69.2
15,32,34.8
15,33,12.0
15,34,99.3
15,35,73.4
15,36,223.7
15,37,218.8
15,38,235.0
15,39,243.1
15,40,125.4
15,41,166.5
16,0,275.5
16,1,254.9
16,2,194.2
16,3,184.9
16,4,168.6
16,5,150.2
16,6,243.2
16,7,248.1
16,8,121.2
16,9,125.0
16,10,293.3
16,11,253.7
16,12,160.6
16,13,221.3
16,14,205.7
16,15,236.8
16,16,177.7
16,17,227.3
16,18,171.6
16,19,140.5
16,20,179.4
16,21,219.3
16,22,286.8
16,23,268.8
16,24,230.1
16,25,265.4
16,26,154.5
16,27,134.5
16,28,246.7
16,29,257.0
16,30,72.8
16,31,69.2
16,32,34.8
16,33,12.0
16,34,99.3
16,35,73.4
16,36,223.7
16,37,218.8
16,38,235.0
16,39,243.1
16,40,125.4
16,41,166.5
17,0,275.5
17,1,254.9
17,2,194.2
17,3,184.9
17,4,168.6
17,5,150.2
17,6,243.2
17,7,248.1
17,8,121.2
17,9,125.0
17,10,293.3
17,11,253.7
17,12,160.6
17,13,221.3
17,14,205.7
17,15,236.8
17,16,177.7
17,17,227.3
17,18,171.6
17,19,140.5
17,20,179.4
17,21,219.3
17,22,286.8
17,23,268.8
17,24,230.1
17,25,265.4
17,26,154.5
17,27,134.5
17,28,246.7
17,29,257.0
17,30,72.8
17,31,69.2
17,32,34.8
17,33,12.0
17,34,99.3
17,35,73.4
17,36,223.7
17,37,218.8
17,38,235.0
17,39,243.1
17,40,125.4
17,41,166.5
18,0,225.6
18,1,284.4
18,2,134.2
18,3,159.4
18,4,174.4
18,5,237.9
18,6,244.9
18,7,231.5
18,8,270.4
18,9,271.5
18,10,216.0
18,11,129.7
18,12,200.0
18,13,115.0
18,14,188.3
18,15,154.9
18,16,264.0
18,17,238.0
18,18,208.5
18,19,206.6
18,20,264.6
18,21,292.4
18,22,129.7
18,23,112.5
18,24,221.6
18,25,120.7
18,26,249.6
18,27,266.1
18,28,163.6
18,29,178.9
18,30,216.2
18,31,247.2
18,32,166.6
18,33,196.0
18,34,279.2
18,35,272.8
18,36,82.9
18,37,60.9
18,38,35.9
18,39,59.9
18,40,90.6
18,41,55.7
19,0,225.6
19,1,284.4
19,2,134.2
19,3,159.4
19,4,174.4
19,5,237.9
19,6,244.9
19,7,231.5
19,8,270.4
19,9,271.5
19,10,216.0
19,11,129.7
19,12,200.0
19,13,115.0
19,14,188.3
19,15,154.9
19,16,264.0
19,17,238.0
19,18,208.5
19,19,206.6
19,20,264.6
19,21,292.4
19,22,129.7
19,23,112.5
19,24,221.6
19,25,120.7
19,26,249.6
19,27,266.1
19,28,163.6
19,29,178.9
19,30,216.2
19,31,247.2
19,32,166.6
19,33,196.0
19,34,279.2
19,35,272.8
19,36,82.9
19,37,60.9
19,38,35.9
19,39,59.9
19,40,90.6
19,41,55.7
20,0,225.6
20,1,284.4
20,2,134.2
20,3,159.4
20,4,174.4
20,5,237.9
20,6,244.9
20,7,231.5
20,8,270.4
20,9,271.5
20,10,216.0
20,11,129.7
20,12,200.0
20,13,115.0
20,14,188.3
20,15,154.9
20,16,264.0
20,17,238.0
20,18,208.5
20,19,206.6
20,20,264.6
20,21,292.4
20,22,129.7
20,23,112.5
20,24,221.6
20,25,120.7
20,26,249.6
20,27,266.1
