slot,cell_id,ue_id,sinr_db,se_bps_hz,n_layers
0,10,13,-39.65,0.0002,2
0,10,14,-24.87,0.0047,2
0,10,15,-16.44,0.0324,2
0,10,16,-7.03,0.2608,2
0,10,17,-11.43,0.1002,2
0,10,18,-2.66,0.6251,2
0,10,19,-18.62,0.0197,2
0,10,20,13.70,4.6123,2
0,10,21,23.82,7.9199,2
0,10,22,-25.57,0.0040,2
0,10,23,-12.24,0.0837,2
0,10,24,-5.67,0.3462,2
0,10,25,-49.89,0.0000,2
0,10,26,-21.43,0.0103,2
0,10,27,-19.10,0.0176,2
0,10,28,-30.15,0.0014,2
0,10,29,-28.43,0.0021,2
0,10,30,-0.29,0.9533,2
0,10,31,-34.06,0.0006,2
0,10,32,-35.97,0.0004,2
0,10,33,-22.71,0.0077,2
0,10,34,-18.41,0.0206,2
0,10,35,-20.14,0.0139,2
0,10,36,-39.91,0.0001,2
0,10,37,-57.20,0.0000,2
0,10,38,-18.01,0.0226,2
0,10,39,-36.61,0.0003,2
0,10,40,-15.73,0.0381,2
0,10,41,-1.55,0.7658,2
0,11,0,-300.00,0.0000,2
0,11,1,-33.03,0.0007,2
0,11,2,-63.22,0.0000,2
0,11,3,-55.43,0.0000,2
0,11,4,-44.69,0.0000,2
0,11,5,-32.57,0.0008,2
0,11,6,-44.99,0.0000,2
0,11,7,-45.07,0.0000,2
0,11,8,-28.27,0.0021,2
0,11,9,-51.38,0.0000,2
0,11,10,-45.81,0.0000,2
0,11,11,-3.88,0.4954,2
0,11,12,-24.40,0.0052,2
0,11,13,-32.87,0.0007,2
0,11,14,-62.25,0.0000,2
0,11,15,-27.15,0.0028,2
0,11,16,-24.19,0.0055,2
0,11,17,-47.42,0.0000,2
0,11,18,-15.59,0.0393,2
0,11,19,-19.72,0.0153,2
0,11,20,4.76,1.9963,2
0,11,21,-11.01,0.1100,2
0,11,22,-20.27,0.0135,2
0,11,23,-8.18,0.2044,2
0,11,24,-11.59,0.0967,2
