name,seed,snr_db,reward,acc,delay,energy,backlog,vio,vio_excess,sec
dts,0,8,3.98592,0.193726,26.2084,3.21618,39791.8,0.4604,13.279,26.4937
dts,1,8,5.18043,0.182992,23.6015,2.82097,31639.2,0.3068,11.8735,24.6286
dts,2,8,5.16601,0.189514,19.2888,2.47008,33122.2,0.4556,9.17756,24.1737
gdo,0,8,-0.964591,0.249199,65.1376,7.12883,120030,0.6024,35.4173,12.7095
gdo,1,8,1.99579,0.247304,47.7254,5.25552,122029,0.5056,26.682,12.4382
gdo,2,8,2.13622,0.248394,42.2359,4.80277,120337,0.6084,21.96,12.9416
rss,0,8,1.83487,0.194044,32.987,3.86166,74141.3,0.598,16.5774,12.4682
rss,1,8,1.12704,0.19646,43.173,4.70467,65765,0.6004,22.4256,10.3232
rss,2,8,0.180381,0.193874,46.8394,5.19914,59399.7,0.6242,27.1184,11.2414
dqn,0,8,0.295088,0.204436,43.9187,4.96102,73557.4,0.6604,22.218,25.3025
dqn,1,8,-0.269998,0.204597,54.6439,5.88731,72318.3,0.6008,28.4063,25.3967
dqn,2,8,-0.82072,0.207761,56.0727,6.11331,74032.9,0.6768,28.3786,25.4855
ppo,0,8,-0.345883,0.205074,49.1652,5.47792,74652.8,0.6742,25.5547,12.2858
ppo,1,8,-1.39916,0.205481,62.0683,6.62515,87417.9,0.6248,33.4541,12.3175
ppo,2,8,0.830455,0.206583,41.8971,4.69122,73262.9,0.6624,20.8075,13.1376
mappo,0,8,-1.14651,0.205585,54.961,6.0542,97177.9,0.6776,28.9864,12.8728
mappo,1,8,-0.379638,0.20662,55.0464,5.93054,79338,0.6108,27.0599,12.5415
mappo,2,8,-1.41469,0.202152,61.1706,6.61635,62950.9,0.6636,32.614,11.5377
cto,0,8,5.4283,0.183305,18.3285,2.44221,28024.4,0.3328,9.05532,36.2894
cto,1,8,6.19713,0.185793,16.3087,2.09985,27606.6,0.2798,8.17238,35.5893
cto,2,8,5.55028,0.185119,20.4877,2.59968,24625.7,0.3654,10.5409,36.3821
causal,0,10,8.18273,0.219464,9.88306,1.58153,33819.5,0.1716,4.59379,21.0432
causal,1,10,8.84872,0.218819,7.56983,1.21572,37735.8,0.146,3.58069,20.9895
causal,2,10,8.39761,0.218833,7.75845,1.31154,37988.6,0.2536,3.67211,21.0225
ucb,0,10,6.70656,0.19778,13.0066,1.90284,34073.4,0.275,6.39471,25.0066
ucb,1,10,6.39636,0.192413,16.1158,2.08294,31051.1,0.2706,8.37773,26.7221
ucb,2,10,4.76911,0.192442,24.9023,3.02663,35983.8,0.4128,12.7866,27.0582
dts,0,10,5.45752,0.188172,18.23,2.4218,28331,0.3476,9.23485,25.2364
dts,1,10,5.0039,0.192651,28.0642,3.27051,31804.4,0.3046,14.028,25.1529
dts,2,10,4.83217,0.194612,25.4096,3.08594,33231.9,0.4014,13.7386,25.0034
gdo,0,10,3.07576,0.25345,39.5337,4.56844,90836.1,0.5004,21.0308,12.6394
gdo,1,10,4.40529,0.252285,35.6928,4.05226,89539.6,0.4072,19.8942,12.8964
gdo,2,10,4.09513,0.254011,33.7605,3.95522,84434.9,0.5188,16.7382,12.6252
rss,0,10,3.65335,0.194321,21.654,2.72837,58941.3,0.5376,10.3797,11.4591
rss,1,10,0.739857,0.195343,50.0735,5.39472,51668,0.5346,26.8301,10.5292
rss,2,10,3.20402,0.194171,27.4859,3.2638,48849.4,0.5712,15.6279,11.3733
dqn,0,10,0.526087,0.202359,45.6969,5.12759,58572.7,0.5956,23.1179,24.9231
dqn,1,10,0.870413,0.205544,48.3178,5.245,62570.2,0.5502,24.2129,25.1104
dqn,2,10,1.18011,0.204637,43.494,4.84551,60363,0.6086,21.8008,25.952
ppo,0,10,0.448209,0.20411,47.3016,5.29724,64273.2,0.595,24.5844,12.5629
ppo,1,10,0.807938,0.20494,49.1746,5.33879,67709.2,0.5522,24.7923,12.3192
ppo,2,10,0.502665,0.205781,48.6006,5.35846,69762.4,0.6304,24.7286,12.1448
mappo,0,10,1.02005,0.204675,41.3093,4.69034,79541.2,0.6226,21.3753,11.3459
mappo,1,10,2.09508,0.204916,38.1458,4.23937,67385,0.5538,19.9431,11.8787
mappo,2,10,0.176473,0.203141,51.5886,5.64912,52510,0.6158,27.0323,11.1288
cto,0,10,6.67748,0.186957,12.2832,1.8451,23285.9,0.263,5.86386,41.8997
cto,1,10,7.33546,0.188136,13.0821,1.77481,24788.9,0.2078,6.62147,46.8241
cto,2,10,6.24168,0.187607,17.3239,2.28546,22695.1,0.3232,8.74951,43.5931
